,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS
339,Cr1 Ta1 Zr1 Ti1 Nb1,TiCrZrNbTa,SS,SS+IM,-10.128571320037146,55.94165604345797,86.87303383911353
340,Cr1 Ta1 Zr1 Ti1 Hf1,TiCrZrHfTa,SS,SS+IM,-11.704023167493737,56.35356279666067,86.05641439363725
341,Cr1 Ta1 Zr1 Mo1 V1,VCrZrMoTa,SS,SS+IM,-4.358243084189379,39.86730603212895,87.60510000010429
342,Cr1 Ta1 Zr1 Mo1 Pd1,CrZrMoPdTa,SS,SS,-2.4749556328890634,34.29564342675914,95.13842991050537
343,Cr1 Ta1 Zr1 Mo1 Nb1,CrZrNbMoTa,SS,SS+IM,-3.4132601802383653,38.309156762920786,87.16696817629766
344,Cr1 Ta1 Zr1 Mo1 Hf1,CrZrMoHfTa,SS,SS,-5.337225828754042,42.040962305951474,89.11663552513555
345,Cr1 Ta1 Zr1 V1 Pd1,VCrZrPdTa,SS,SS,-4.991395205850538,40.4859865410966,102.15908492670461
346,Cr1 Ta1 Zr1 V1 Nb1,VCrZrNbTa,SS,SS+IM,-8.328745686866952,52.18210562817127,92.1503626767857
347,Cr1 Ta1 Zr1 V1 Hf1,VCrZrHfTa,SS,SS,-10.35493728080139,54.64546726119576,86.10052666388246
348,Cr1 Ta1 Zr1 Pd1 Nb1,CrZrNbPdTa,SS,SS,-3.9672642968693608,39.055168249767945,102.32542415346742
349,Cr1 Ta1 Zr1 Pd1 Hf1,CrZrPdHfTa,SS,SS,-7.263875942176551,48.62171200117338,106.25473931036852
350,Cr1 Ta1 Zr1 Nb1 Hf1,CrZrNbHfTa,SS,SS+IM,-9.98203679191467,55.69458135611062,88.0953866482266
351,Cr1 Ta1 Ti1 Mo1 V1,TiVCrMoTa,SS,SS+IM,-4.246635482803939,41.15753876624521,89.37854682891036
352,Cr1 Ta1 Ti1 Mo1 Pd1,TiCrMoPdTa,SS,SS,-4.257699291447275,36.889296302090685,92.35847870649675
353,Cr1 Ta1 Ti1 Mo1 Nb1,TiCrNbMoTa,SS,SS+IM,-4.465353304634309,40.04636682173683,87.15215845190279
354,Cr1 Ta1 Ti1 Mo1 Hf1,TiCrMoHfTa,SS,SS,-6.221520874615673,43.01396560600685,89.75069105891033
355,Cr1 Ta1 Ti1 V1 Pd1,TiVCrPdTa,SS,SS,-4.788050881737909,39.9100136374756,103.7230489670525
356,Cr1 Ta1 Ti1 V1 Nb1,TiVCrNbTa,SS,SS+IM,-5.982634011139632,50.95224927174414,99.4726819600309
357,Cr1 Ta1 Ti1 V1 Hf1,TiVCrHfTa,SS,SS,-8.93810079515407,54.18840764845316,87.83012352289656
358,Cr1 Ta1 Ti1 Pd1 Nb1,TiCrNbPdTa,SS,SS,-5.288646152189535,41.950297454452475,104.18194312169823
359,Cr1 Ta1 Ti1 Pd1 Hf1,TiCrPdHfTa,SS,SS,-5.466759092035188,43.49205275284632,105.04681235564784
360,Cr1 Ta1 Ti1 Nb1 Hf1,TiCrNbHfTa,SS,SS+IM,-9.382075154388545,54.3310570632645,87.91816397243609
361,Cr1 Ta1 Mo1 V1 Pd1,VCrMoPdTa,SS,SS,-3.0616632810119064,33.926950441275956,88.58565067232686
362,Cr1 Ta1 Mo1 V1 Nb1,VCrNbMoTa,SS,SS,-4.423853420641469,39.57613057972064,89.72932872395317
363,Cr1 Ta1 Mo1 V1 Hf1,VCrMoHfTa,SS,SS,-4.998612501945191,38.75139503236923,89.69983905856569
364,Cr1 Ta1 Mo1 Pd1 Nb1,CrNbMoPdTa,SS,SS,-3.331973591506304,34.858480189678005,88.73901875792205
